order_id,customer_id,product_category,price,quantity,discount,order_date,total_value
1,8270,Sports,267.6,5,0.13,2023-01-01 00:00:00,1164.06
2,1860,Electronics,280.4,5,0.16,2023-01-01 01:00:00,1177.68
3,6390,Books,249.54,4,0.07,2023-01-01 02:00:00,928.2887999999999
4,6191,Sports,207.89,1,0.14,2023-01-01 03:00:00,178.78539999999998
5,6734,Electronics,129.88,1,0.09,2023-01-01 04:00:00,118.1908
6,7265,Sports,203.34,2,0.16,2023-01-01 05:00:00,341.6112
7,1466,Beauty,73.69,2,0.2,2023-01-01 06:00:00,117.904
8,5426,Clothing,62.05,1,0.18,2023-01-01 07:00:00,50.881
9,6578,Sports,153.47,1,0.23,2023-01-01 08:00:00,118.17190000000001
10,9322,Beauty,497.7,2,0.01,2023-01-01 09:00:00,985.4459999999999
11,2685,Home,166.62,4,0.02,2023-01-01 10:00:00,653.1504
12,1769,Electronics,468.55,4,0.06,2023-01-01 11:00:00,1761.748
13,7949,Home,199.17,4,0.3,2023-01-01 12:00:00,557.6759999999999
14,3433,Books,222.31,4,0.24,2023-01-01 13:00:00,675.8224
15,6311,Beauty,399.55,2,0.28,2023-01-01 14:00:00,575.352
16,6051,Home,51.35,3,0.08,2023-01-01 15:00:00,141.72600000000003
17,7420,Home,95.25,5,0.17,2023-01-01 16:00:00,395.28749999999997
18,2184,Beauty,487.05,5,0.17,2023-01-01 17:00:00,2021.2575
19,5555,Clothing,255.43,5,0.17,2023-01-01 18:00:00,1060.0345
20,4385,Sports,26.93,5,0.22,2023-01-01 19:00:00,105.027
21,7396,Books,28.45,2,0.12,2023-01-01 20:00:00,50.071999999999996
22,9666,Books,454.08,3,0.2,2023-01-01 21:00:00,1089.7920000000001
23,3558,Electronics,437.32,2,0.24,2023-01-01 22:00:00,664.7264
24,8849,Sports,231.91,3,0.09,2023-01-01 23:00:00,633.1143000000001
25,3047,Electronics,85.79,2,0.28,2023-01-02 00:00:00,123.5376
26,3747,Books,415.99,1,0.16,2023-01-02 01:00:00,349.4316
27,1189,Sports,165.68,3,0.22,2023-01-02 02:00:00,387.69120000000004
28,3734,Home,212.43,5,0.22,2023-01-02 03:00:00,828.4770000000001
29,4005,Clothing,342.83,3,0.17,2023-01-02 04:00:00,853.6467
30,5658,Home,179.93,4,0.1,2023-01-02 05:00:00,647.748
31,2899,Clothing,316.19,3,0.2,2023-01-02 06:00:00,758.856
32,8734,Beauty,443.21,4,0.03,2023-01-02 07:00:00,1719.6547999999998
33,2267,Electronics,399.7,4,0.29,2023-01-02 08:00:00,1135.148
34,2528,Electronics,193.9,1,0.06,2023-01-02 09:00:00,182.266
35,4556,Beauty,147.53,3,0.08,2023-01-02 10:00:00,407.18280000000004
36,4890,Sports,146.33,1,0.29,2023-01-02 11:00:00,103.8943
37,9838,Beauty,177.55,5,0.06,2023-01-02 12:00:00,834.4849999999999
38,6393,Books,249.29,3,0.05,2023-01-02 13:00:00,710.4765
39,9792,Beauty,211.22,2,0.24,2023-01-02 14:00:00,321.0544
40,9433,Clothing,70.84,2,0.08,2023-01-02 15:00:00,130.34560000000002
41,8513,Books,85.91,2,0.03,2023-01-02 16:00:00,166.66539999999998
42,3612,Beauty,174.75,4,0.07,2023-01-02 17:00:00,650.0699999999999
43,8041,Electronics,283.22,2,0.27,2023-01-02 18:00:00,413.50120000000004
44,7235,Home,298.37,5,0.08,2023-01-02 19:00:00,1372.502
45,6486,Clothing,245.67,3,0.21,2023-01-02 20:00:00,582.2379
46,8099,Clothing,370.69,3,0.12,2023-01-02 21:00:00,978.6216
47,1775,Sports,369.94,4,0.08,2023-01-02 22:00:00,1361.3792
